sent_id,type,idiom_id,group,trial_order,rt_raw_ms,unit_rt_ms,unit_rt_log,participant,biasing_context,resolution_type,idiom,ipm,ipm_bri,frequency,familiarity,literality,is_low
41,2,11,2,4,1834.367500036024,107.90397059035435,4.681241670385495,0012,0.5,-0.5,снять голову,0.19161808802609326,0.7845267603033933,-1.9470579213475734,-3.0950024680704513,-0.7008894464105709,1
40,1,11,1,12,1612.87509999238,94.87500588190471,4.552560297712152,0025,0.5,0.5,снять голову,0.19161808802609326,0.7845267603033933,-1.9470579213475734,-3.0950024680704513,-0.7008894464105709,1
43,4,11,1,26,685.0052000954747,40.294423535027924,3.6962130855574498,0025,-0.5,-0.5,снять голову,0.19161808802609326,0.7845267603033933,-1.9470579213475734,-3.0950024680704513,-0.7008894464105709,1
40,1,11,1,10,1779.147200053558,104.6557176502093,4.650676083330809,0028,0.5,0.5,снять голову,0.19161808802609326,0.7845267603033933,-1.9470579213475734,-3.0950024680704513,-0.7008894464105709,1
43,4,11,1,26,1331.49140002206,78.3230235307094,4.360841602312519,0028,-0.5,-0.5,снять голову,0.19161808802609326,0.7845267603033933,-1.9470579213475734,-3.0950024680704513,-0.7008894464105709,1
41,2,11,2,7,1756.091400049627,103.2994941205663,4.637632478926441,0049,0.5,-0.5,снять голову,0.19161808802609326,0.7845267603033933,-1.9470579213475734,-3.0950024680704513,-0.7008894464105709,1
42,3,11,2,10,1179.92659995798,69.40744705635177,4.23999416804334,0049,-0.5,0.5,снять голову,0.19161808802609326,0.7845267603033933,-1.9470579213475734,-3.0950024680704513,-0.7008894464105709,1
41,2,11,2,5,1020.477999933064,60.02811764312141,4.094813079835938,0063,0.5,-0.5,снять голову,0.19161808802609326,0.7845267603033933,-1.9470579213475734,-3.0950024680704513,-0.7008894464105709,1
42,3,11,2,17,3080.244299955666,181.1908411738627,5.199550846933309,0063,-0.5,0.5,снять голову,0.19161808802609326,0.7845267603033933,-1.9470579213475734,-3.0950024680704513,-0.7008894464105709,1
40,1,11,1,4,2267.959399963729,133.40937646845464,4.893422419380637,0069,0.5,0.5,снять голову,0.19161808802609326,0.7845267603033933,-1.9470579213475734,-3.0950024680704513,-0.7008894464105709,1
41,2,11,2,19,1300.553000066429,76.5031176509664,4.337331493609488,0070,0.5,-0.5,снять голову,0.19161808802609326,0.7845267603033933,-1.9470579213475734,-3.0950024680704513,-0.7008894464105709,1
42,3,11,2,29,1100.709500024095,64.74761764847618,4.1704969068290385,0070,-0.5,0.5,снять голову,0.19161808802609326,0.7845267603033933,-1.9470579213475734,-3.0950024680704513,-0.7008894464105709,1
42,3,11,2,25,1499.014899949543,88.17734705585546,4.479350093923293,0085,-0.5,0.5,снять голову,0.19161808802609326,0.7845267603033933,-1.9470579213475734,-3.0950024680704513,-0.7008894464105709,1
40,1,11,1,17,886.5249999798834,52.148529410581375,3.9540959818273422,0094,0.5,0.5,снять голову,0.19161808802609326,0.7845267603033933,-1.9470579213475734,-3.0950024680704513,-0.7008894464105709,1
43,4,11,1,19,595.5248000100255,35.03087058882503,3.556229689564719,0094,-0.5,-0.5,снять голову,0.19161808802609326,0.7845267603033933,-1.9470579213475734,-3.0950024680704513,-0.7008894464105709,1
41,2,11,2,5,1020.477999933064,60.02811764312141,4.094813079835938,0163,0.5,-0.5,снять голову,0.19161808802609326,0.7845267603033933,-1.9470579213475734,-3.0950024680704513,-0.7008894464105709,1
42,3,11,2,17,3080.244299955666,181.1908411738627,5.199550846933309,0163,-0.5,0.5,снять голову,0.19161808802609326,0.7845267603033933,-1.9470579213475734,-3.0950024680704513,-0.7008894464105709,1
40,1,11,1,17,886.5249999798834,52.148529410581375,3.9540959818273422,0194,0.5,0.5,снять голову,0.19161808802609326,0.7845267603033933,-1.9470579213475734,-3.0950024680704513,-0.7008894464105709,1
43,4,11,1,19,595.5248000100255,35.03087058882503,3.556229689564719,0194,-0.5,-0.5,снять голову,0.19161808802609326,0.7845267603033933,-1.9470579213475734,-3.0950024680704513,-0.7008894464105709,1
41,2,11,2,4,1834.367500036024,107.90397059035435,4.681241670385495,0213,0.5,-0.5,снять голову,0.19161808802609326,0.7845267603033933,-1.9470579213475734,-3.0950024680704513,-0.7008894464105709,1
41,2,11,2,7,1756.091400049627,103.2994941205663,4.637632478926441,0549,0.5,-0.5,снять голову,0.19161808802609326,0.7845267603033933,-1.9470579213475734,-3.0950024680704513,-0.7008894464105709,1
42,3,11,2,10,1179.92659995798,69.40744705635177,4.23999416804334,0549,-0.5,0.5,снять голову,0.19161808802609326,0.7845267603033933,-1.9470579213475734,-3.0950024680704513,-0.7008894464105709,1
41,2,11,2,12,1671.105000074022,98.30029412200129,4.588027019234111,0552,0.5,-0.5,снять голову,0.19161808802609326,0.7845267603033933,-1.9470579213475734,-3.0950024680704513,-0.7008894464105709,1
42,3,11,2,27,1706.411099992692,100.37712352898188,4.60893432799813,0552,-0.5,0.5,снять голову,0.19161808802609326,0.7845267603033933,-1.9470579213475734,-3.0950024680704513,-0.7008894464105709,1
40,1,11,1,12,1612.87509999238,94.87500588190471,4.552560297712152,0625,0.5,0.5,снять голову,0.19161808802609326,0.7845267603033933,-1.9470579213475734,-3.0950024680704513,-0.7008894464105709,1
43,4,11,1,26,685.0052000954747,40.294423535027924,3.6962130855574498,0625,-0.5,-0.5,снять голову,0.19161808802609326,0.7845267603033933,-1.9470579213475734,-3.0950024680704513,-0.7008894464105709,1
40,1,11,1,10,1779.147200053558,104.6557176502093,4.650676083330809,0628,0.5,0.5,снять голову,0.19161808802609326,0.7845267603033933,-1.9470579213475734,-3.0950024680704513,-0.7008894464105709,1
43,4,11,1,26,1331.49140002206,78.3230235307094,4.360841602312519,0628,-0.5,-0.5,снять голову,0.19161808802609326,0.7845267603033933,-1.9470579213475734,-3.0950024680704513,-0.7008894464105709,1
42,3,11,2,25,1499.014899949543,88.17734705585546,4.479350093923293,0685,-0.5,0.5,снять голову,0.19161808802609326,0.7845267603033933,-1.9470579213475734,-3.0950024680704513,-0.7008894464105709,1
40,1,11,1,12,2964.595700032078,174.38798235482813,5.161282600584685,0698,0.5,0.5,снять голову,0.19161808802609326,0.7845267603033933,-1.9470579213475734,-3.0950024680704513,-0.7008894464105709,1
43,4,11,1,21,1233.667000080459,72.56864706355641,4.284532969924257,0698,-0.5,-0.5,снять голову,0.19161808802609326,0.7845267603033933,-1.9470579213475734,-3.0950024680704513,-0.7008894464105709,1
40,1,11,1,1,852.3912000237033,50.14065882492372,3.914832232351116,0705,0.5,0.5,снять голову,0.19161808802609326,0.7845267603033933,-1.9470579213475734,-3.0950024680704513,-0.7008894464105709,1
43,4,11,1,11,456.54049993027,26.855323525310002,3.2904640704012227,0705,-0.5,-0.5,снять голову,0.19161808802609326,0.7845267603033933,-1.9470579213475734,-3.0950024680704513,-0.7008894464105709,1
40,1,11,1,4,2267.959399963729,133.40937646845464,4.893422419380637,0912,0.5,0.5,снять голову,0.19161808802609326,0.7845267603033933,-1.9470579213475734,-3.0950024680704513,-0.7008894464105709,1
41,2,11,2,4,1834.367500036024,107.90397059035435,4.681241670385495,1213,0.5,-0.5,снять голову,0.19161808802609326,0.7845267603033933,-1.9470579213475734,-3.0950024680704513,-0.7008894464105709,1
41,2,11,2,7,1756.091400049627,103.2994941205663,4.637632478926441,1549,0.5,-0.5,снять голову,0.19161808802609326,0.7845267603033933,-1.9470579213475734,-3.0950024680704513,-0.7008894464105709,1
42,3,11,2,10,1179.92659995798,69.40744705635177,4.23999416804334,1549,-0.5,0.5,снять голову,0.19161808802609326,0.7845267603033933,-1.9470579213475734,-3.0950024680704513,-0.7008894464105709,1
40,1,11,1,17,886.5249999798834,52.148529410581375,3.9540959818273422,2194,0.5,0.5,снять голову,0.19161808802609326,0.7845267603033933,-1.9470579213475734,-3.0950024680704513,-0.7008894464105709,1
43,4,11,1,19,595.5248000100255,35.03087058882503,3.556229689564719,2194,-0.5,-0.5,снять голову,0.19161808802609326,0.7845267603033933,-1.9470579213475734,-3.0950024680704513,-0.7008894464105709,1
40,1,11,1,12,1612.87509999238,94.87500588190471,4.552560297712152,2625,0.5,0.5,снять голову,0.19161808802609326,0.7845267603033933,-1.9470579213475734,-3.0950024680704513,-0.7008894464105709,1
43,4,11,1,26,685.0052000954747,40.294423535027924,3.6962130855574498,2625,-0.5,-0.5,снять голову,0.19161808802609326,0.7845267603033933,-1.9470579213475734,-3.0950024680704513,-0.7008894464105709,1
42,3,11,2,25,1499.014899949543,88.17734705585546,4.479350093923293,3685,-0.5,0.5,снять голову,0.19161808802609326,0.7845267603033933,-1.9470579213475734,-3.0950024680704513,-0.7008894464105709,1
41,2,11,2,12,1671.105000074022,98.30029412200129,4.588027019234111,5552,0.5,-0.5,снять голову,0.19161808802609326,0.7845267603033933,-1.9470579213475734,-3.0950024680704513,-0.7008894464105709,1
42,3,11,2,27,1706.411099992692,100.37712352898188,4.60893432799813,5552,-0.5,0.5,снять голову,0.19161808802609326,0.7845267603033933,-1.9470579213475734,-3.0950024680704513,-0.7008894464105709,1
40,1,11,1,12,2964.595700032078,174.38798235482813,5.161282600584685,5698,0.5,0.5,снять голову,0.19161808802609326,0.7845267603033933,-1.9470579213475734,-3.0950024680704513,-0.7008894464105709,1
43,4,11,1,21,1233.667000080459,72.56864706355641,4.284532969924257,5698,-0.5,-0.5,снять голову,0.19161808802609326,0.7845267603033933,-1.9470579213475734,-3.0950024680704513,-0.7008894464105709,1
40,1,11,1,1,852.3912000237033,50.14065882492372,3.914832232351116,5705,0.5,0.5,снять голову,0.19161808802609326,0.7845267603033933,-1.9470579213475734,-3.0950024680704513,-0.7008894464105709,1
43,4,11,1,11,456.54049993027,26.855323525310002,3.2904640704012227,5705,-0.5,-0.5,снять голову,0.19161808802609326,0.7845267603033933,-1.9470579213475734,-3.0950024680704513,-0.7008894464105709,1
40,1,11,1,4,2267.959399963729,133.40937646845464,4.893422419380637,6912,0.5,0.5,снять голову,0.19161808802609326,0.7845267603033933,-1.9470579213475734,-3.0950024680704513,-0.7008894464105709,1
41,2,11,2,5,1020.477999933064,60.02811764312141,4.094813079835938,7163,0.5,-0.5,снять голову,0.19161808802609326,0.7845267603033933,-1.9470579213475734,-3.0950024680704513,-0.7008894464105709,1
42,3,11,2,17,3080.244299955666,181.1908411738627,5.199550846933309,7163,-0.5,0.5,снять голову,0.19161808802609326,0.7845267603033933,-1.9470579213475734,-3.0950024680704513,-0.7008894464105709,1
40,1,11,1,10,1779.147200053558,104.6557176502093,4.650676083330809,7628,0.5,0.5,снять голову,0.19161808802609326,0.7845267603033933,-1.9470579213475734,-3.0950024680704513,-0.7008894464105709,1
43,4,11,1,26,1331.49140002206,78.3230235307094,4.360841602312519,7628,-0.5,-0.5,снять голову,0.19161808802609326,0.7845267603033933,-1.9470579213475734,-3.0950024680704513,-0.7008894464105709,1
